'15410(lastValue)','"2024-12-01T13:32:52.068Z"','"1"','15','36982','3043','2889.58','894.34','800','696.24','682.29'
'null(lastValue)','"2024-12-01T13:33:33.556Z"','"2"','2','11321','4591','649.95','609.92','451.5','349.5','222.74'
'15716','"2024-12-01T13:34:12.752Z"','"1"','1','4523','3330','361.2','275.73','217.97','78.78','62.77'
'15716','"2024-12-01T13:35:51.073Z"','"CashHunt"','100','77383','6686','8647.61','3025.02','2196.95','1575','1313'
'15716','"2024-12-01T13:37:25.444Z"','"CashHunt"','100','71289','7084','3295.42','2892.68','2134.18','1228.07','964.23'
'17513','"2024-12-01T13:38:06.162Z"','"1"','1','5145','4009','361.2','101.65','82.83','78.78','78.25'
'null(lastValue)','"2024-12-01T13:39:29.424Z"','"2"','4','26736','6203','1750','1694.22','752.5','749.28','582.5'
'18191','"2024-12-01T13:40:09.271Z"','"2"','2','12257','5894','451.5','349.5','345','283.6','245.22'
'17961','"2024-12-01T13:40:50.546Z"','"1"','1','5330','3953','361.2','204.68','189.75','120.94','81.74'
'17961','"2024-12-01T13:41:33.362Z"','"2"','2','10944','5055','451.5','302.52','283.6','228.87','204.35'
'17277','"2024-12-01T13:43:19.217Z"','"CashHunt"','300','222945','7609','35567.65','8107.78','4711.22','4100.62','3200.89'
'null(lastValue)','"2024-12-01T13:45:12.889Z"','"CrazyBonus"','50','182728','9252','6669.3','2667.72','2662.78','2239.62','1710.42'
'null(lastValue)','"2024-12-01T13:46:39.579Z"','"1"','1','6896','4806','361.2','223.58','120.4','94.53','88.61'
'null(lastValue)','"2024-12-01T13:48:17.806Z"','"Pachinko"','10','59175','11128','2876.95','749.28','599.43','575.39','574.33'
'21699','"2024-12-01T13:49:01.104Z"','"2"','2','14631','7211','451.5','361.2','349.5','329.36','195'
'22042','"2024-12-01T13:49:42.053Z"','"1"','1','6803','5172','361.2','204.8','192.64','120.4','80'
'22042(lastValue)','"2024-12-01T13:50:22.939Z"','"1"','1','6188','4811','361.2','192.64','120.4','108.99','78.78'
'null(lastValue)','"2024-12-01T13:51:05.678Z"','"2"','2','13199','6658','980.88','451.5','361.2','208.25','150.92'
'20788','"2024-12-01T13:51:49.689Z"','"10"','10','58674','7320','11507.81','2997.13','1449.17','1247.82','1135.22'
'20552','"2024-12-01T13:52:29.442Z"','"1"','1','6567','4694','446.02','361.2','192.64','145.13','120.4'
'20552','"2024-12-01T13:53:09.670Z"','"2"','2','12461','6100','669.04','451.5','361.2','349.5','208.25'
'20525','"2024-12-01T13:53:53.923Z"','"2"','2','13022','6027','669.04','451.5','361.2','349.5','283.6'
'20525(lastValue)','"2024-12-01T13:54:33.498Z"','"1"','1','6005','4104','446.02','361.2','200','192.64','122.97'
'null(lastValue)','"2024-12-01T13:55:12.826Z"','"1"','1','5422','3970','446.02','361.2','200','120.4','88.35'
'19069','"2024-12-01T13:55:54.424Z"','"1"','1','5441','3686','361.2','223.58','200','126.59','120.4'
'19069','"2024-12-01T13:58:04.835Z"','"2"','2','10797','4416','474.71','349.5','281.25','234.76','208.25'
'19069','"2024-12-01T13:58:47.011Z"','"1"','1','3918','3016','271.07','200','89.43','89.43','79.46'
'16738','"2024-12-01T13:59:31.944Z"','"1"','1','5088','3249','800','400','138.84','79.46','68'
'16738','"2024-12-01T14:00:20.791Z"','"1"','1','4817','3455','403.36','300','138.84','135.54','67.08'
